n;SI;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria
76;S;Are people happier in locations of high property value? Spatial temporal analytics of activity frequency, public sentiment and housing price using twitter data;Mark Junjie Tan and ChengHe Guan;Applied Geography;2021;Science@Direct;102474;132;"The rise of social networking platforms provides opportunities to examine the relationship between public emotion and housing price. This study investigates frequency and places of visits, population sentiment, and housing price using 8.7 million tweets retrieved from Manhattan, New York City in 2019. We implemented kernel density estimation, Getis-Ord Gi hot spot analysis, and spatial lagged hedonic pricing models to identify the location variation of sentiment levels. The results show: (1) the spatial clustering of tweets frequency was highly related to land use types in places such as parks, financial districts, and train stations; (2) high sentiment levels coincided with high frequency clusters and higher positive sentiment is associated with higher housing price; and (3) sentiment level was significantly associated with housing price and building structure, amenities, and proximity to landmarks all had significant influences on housing price. The study indicates that a population with higher concentration of happiness correlates to higher property value and provides an innovative perspective to understand public sentiment in relation to housing price using social media data, supplemented by housing transaction data. We demonstrate a feasible framework for researchers and stakeholders to utilize in future urban and spatial geographical research.";;https://doi.org/10.1016/j.apgeog.2021.102474;https://www.sciencedirect.com/science/article/pii/S0143622821000904;;;Twitter sentiment level, Social media data, Housing price, Spatial temporal analytics, New York city;;0143-6228;;;
77;S;Urban expansion and wetland shrinkage estimation using a GIS-based model in the East Kolkata Wetland, India;Biswajit Mondal and Gour Dolui and Malay Pramanik and Santu Maity and Sumantra Sarathi Biswas and Raghunath Pal;Ecological Indicators;2017;Science@Direct;62-73;83;The usefulness and need for wetland ecosystems are in general, manifold. Nonetheless, their current situation in many parts of the world is truly a matter of concern, both in terms of biodiversity as well as human well-being. While policy development and decision-making are vital, there is also a great need to understand the wetlands transition process, taking into account measures for their conservation. In an attempt towards such an understanding, this study analyses the eco-social transformation of the East Kolkata Wetland (EKW). As a primary step to examine the patterns and drivers of wetland change in the EKW, land cover changes have been quantified. In addition, the significance of the driving factors has been adjudged and modelled using Wetland Shrinkage Monitoring (WSM) model. The outcome shows that wetland shrinkage largely determined by proximity forces of urban growth. While the Markov transition indicates that 46% out of 38km2 wetland tends to alter to other classes, wetland transition 2025 points out that almost 9km2 area is at critical risk. In addition to these findings, the study ascertains that a decent functioning of the local authorities and a comprehensive land use planning are indispensable to curb wetland degradation.;;https://doi.org/10.1016/j.ecolind.2017.07.037;https://www.sciencedirect.com/science/article/pii/S1470160X17304508;;;East Kolkata wetland, SimWeight, Urban growth, Wetland shrinkage monitoring (WSM) model, Wetland transition;;1470-160X;;;
78;S;Identification of the numerical patterns behind the leading counties in the U.S. local green building markets using data mining;Jun Ma and Jack C.P. Cheng;Journal of Cleaner Production;2017;Science@Direct;406-418;151;The U.S. is reported to have one of the most developed green building markets. The country wide success must start from the success of different local markets. So how many important local green building markets are there in the U.S. and why those areas became important? The answers can provide useful implications for developing countries like China to better promote their green building markets. To explore the question in a numerical way, this study therefore collected the data of 17,636 green building projects in the U.S., clustered them into 39 important regions, and analyzed the numerical patterns behind based on 82 different features covering demography, economy, education, climate and policy. Non-linear machine learning algorithms help find that economic factors and educational factors are one of the most influential features. Discoveries were also implemented in China to suggest 20 areas to be the focus of developing Chinese green building market.;;https://doi.org/10.1016/j.jclepro.2017.03.083;https://www.sciencedirect.com/science/article/pii/S0959652617305176;;;Classification, Clustering, Green building market, Influential feature analysis, Greedy forward search;;0959-6526;;;
79;S;M&MFCM: Fuzzy C-means Clustering with Mahalanobis and Minkowski Distance Metrics;Natacha Gueorguieva and Iren Valova and George Georgiev;Procedia Computer Science;2017;Science@Direct;224-233;114;"The proposed modification of conventional fuzzy C-means clustering (FCM) algorithm aims to correct some of its shortcomings. We have focused on as missing flexibility in cluster number adaptation; limited cluster type grouping; less than optimal objective function for clusters of unequal size lying very close to each other; considerable computational time particularly in case of high dimensional data. With M&MFCM we propose to replace the usual Euclidean distance with Mahalanobis and Minkowski metrics in order to enhance the cluster detection capacity of FCM by allowing more accurate detection of arbitrary shapes of clusters for high dimensional datasets. Direct replacement of Euclidean distance in the objective function of FCM with Mahalanobis might cause numerical problems as the largest eigenvalues of the fuzzy covariance matrix could produce extremely long clusters thus contradicting the real data distribution. The improvement is achieved by fixing the ratio between the maximal and minimal eigenvalues of the covariance matrix. The parameterized Minkowski distance metric is adapted for implementation with FCM with various settings. We also propose an approach for improving the initial choice of cluster number and for visualization and analysis of cluster results for labeled and unlabeled datasets. Experimental results demonstrate that the proposed M&MFCM and test methodology significantly improve FCM clustering results.";;https://doi.org/10.1016/j.procs.2017.09.064;https://www.sciencedirect.com/science/article/pii/S1877050917318689;;;fuzzy clustering, cluster validation, distance metric, Silhouette function, confusion matrix, mapping;;1877-0509;;Complex Adaptive Systems Conference with Theme: Engineering Cyber Physical Systems, CAS October 30 – November 1, 2017, Chicago, Illinois, USA;
80;S;Robust Discovery of Regression Models;Jennifer L. Castle and Jurgen A. Doornik and David F. Hendry;Econometrics and Statistics;2021;Science@Direct;;;"Successful modeling of observational data requires jointly discovering the determinants of the underlying process and the observations from which it can be reliably estimated, given the near impossibility of pre-specifying both. To do so requires avoiding many potential problems, including substantive omitted variables; unmodeled non-stationarity and misspecified dynamics in time series; non-linearity; and inappropriate conditioning assumptions, as well as incorrect distributional shape combined with contaminated observations from outliers and shifts. The aim is to discover robust, parsimonious representations that retain the relevant information, are well specified, encompass alternative models, and evaluate the validity of the study. An approach is proposed that provides robustness in many directions. It is demonstrated how to handle apparent outliers due to alternative distributional assumptions; and discriminate between outliers and large observations arising from non-linear responses. Two empirical applications, utilizing datasets popularized in previous applications, show substantive improvements from the proposed approach to robust model discovery.";;https://doi.org/10.1016/j.ecosta.2021.05.004;https://www.sciencedirect.com/science/article/pii/S2452306221000629;;;Autometrics, Lasso, Least-trimmed Squares, Location Shifts, Model Discovery, Non-linearities, Outliers, Robustness, Saturation Estimation, Structural Breaks;;2452-3062;;;
81;S;A human-scale investigation into economic benefits of urban green and blue infrastructure based on big data and machine learning: A case study of Wuhan;Jia Jia and Xiaoqing Zhang;Journal of Cleaner Production;2021;Science@Direct;128321;316;"Rapid urbanization not only helps the urban economy achieve rapid growth but also imposes great pressure on resources and the environment. The green and blue infrastructure (GBI) in urban areas appears to be an important measure to enhance the economic benefits of the urban environment, but related research is still limited. In this article, we combine big data and machine learning methods to investigate the economic benefits of GBI in the city of Wuhan in Hubei Province. Specifically, the daily travel routes of citizens are analyzed at two scale levels (the housing and neighborhood scales); in our analysis, we start with the structural attributes of citizens’ own houses, move on to the city street views that citizens walk through, pass by the locational amenities where citizens spend their leisure time, and arrive at open spaces located throughout the city. The above trajectory dataset includes 30 variables, which were used as the input into ordinary least squares (OLS), geographically weighted regression (GWR), and multiscale GWR (MGWR). The results show that MGWR (adj. R2 = 0.524 at the housing scale, while adj. R2 = 0.869 at the neighborhood scale) with all control variables and the GBI attribute variables have the highest goodness of fit: the closer GBI is to urban residents, the higher the economic benefits are regardless of the area; and the higher the street visible green rate is, the greater the economic benefits are. Therefore, urban areas can appropriately increase the number of well-designed small GBIs located near urban residents. Our research provides insights into how big data and machine learning can be employed in frameworks to characterize the economic benefits of GBI and can be applied in other countries and regions.";;https://doi.org/10.1016/j.jclepro.2021.128321;https://www.sciencedirect.com/science/article/pii/S0959652621025361;;;Economic benefits, Green and blue infrastructure (GBI), Hedonic price model (HPM), Human-scale, Multiscale geographically weighted regression (MGWR);;0959-6526;;;
82;S;Modeling and predicting U.S. recessions using machine learning techniques;Spyridon D. Vrontos and John Galakis and Ioannis D. Vrontos;International Journal of Forecasting;2021;Science@Direct;647-671;37;The most representative machine learning techniques are implemented for modeling and forecasting U.S. economic activity and recessions in particular. An elaborate, comprehensive, and comparative framework is employed in order to estimate U.S. recession probabilities. The empirical analysis explores the predictive content of numerous well-followed macroeconomic and financial indicators, but also introduces a set of less-studied predictors. The predictive ability of the underlying models is evaluated using a plethora of statistical evaluation metrics. The results strongly support the application of machine learning over more standard econometric techniques in the area of recession prediction. Specifically, the analysis indicates that penalized Logit regression models, k-nearest neighbors, and Bayesian generalized linear models largely outperform ‘original’ Logit/Probit models in the prediction of U.S. recessions, as they achieve higher predictive accuracy across long-, medium-, and short-term forecast horizons.;;https://doi.org/10.1016/j.ijforecast.2020.08.005;https://www.sciencedirect.com/science/article/pii/S0169207020301205;;;Forecasting, Recession, Binary Probit/Logit, Classification and regression trees, Penalized likelihood models;;0169-2070;;;
83;S;Deriving adequate sample sizes for ANN-based modelling of real estate valuation tasks by complexity analysis;Sabine Horvath and Matthias Soot and Sebastian Zaddach and Hans Neuner and Alexandra Weitkamp;Land Use Policy;2021;Science@Direct;105475;107;Property valuation in areas with few transactions on basis of a linear regression fails due to a not sufficient number of purchasing cases. One approach which is enhancing the available data set is to evaluate these purchasing cases together with a neighbouring submarket. However, it leads to non-linearities. Consequently, non-linear models for a cross-submarket real estate valuation are required to obtain reasonable results. We focus in this contribution on non-linear modelling on basis of artificial neural networks (ANN). A prerequisite for these procedures is an adequate sample size. We present a new approach based on the aggregation of submarkets additional to the markets with few transactions at the expense of increasing complexity of the model required. The cross-submarket ANN estimation aims to reach accuracies comparable to local property valuation procedures in a first step and in further consequence to enable a reasonable estimation in areas with few transactions. We introduce an extended Kalman filter (EKF) estimation procedure for the ANN parameters and compare it to the standard optimisation procedure Levenberg Marquardt (LM) as well as to the multiple linear regression. Thus, German spatial and functional submarkets are aggregated. For the spatially aggregated data set, the ANN estimation leads to improved results. The ANN estimation of the functionally aggregated data appears deceptively simple due to too small samples not representing the sampling density. The question arises, what are adequate sample sizes regarding the complexity of the unknown relationship. We purpose a model complexity analysis procedure based on resampling and the structural risk minimisation theory and derive a minimum sample size for the spatially aggregated data. Only for the EKF computations, this minimum sample size is reached due to less variance of the ANN estimations. Generally, the EKF computation leads to a better ANN performance in contrast to LM. Finally, the spatial cross-submarket ANN estimation reaches accuracies of local property valuation procedures.;;https://doi.org/10.1016/j.landusepol.2021.105475;https://www.sciencedirect.com/science/article/pii/S0264837721001988;;;Real estate valuation, Artificial neural network, Complexity analysis, Adequate sample size;;0264-8377;;;
84;S;Impact of Categorical Variables Encoding on Property Mass Valuation;Sebastian Gnat;Procedia Computer Science;2021;Science@Direct;3542-3550;192;The main aim of the article was to present impact of categorical variables encoding on property mass valuation. Categorical variables are often used for describing important properties’ characteristics. In some countries, i.e., Poland, description of properties is mainly conducted with categorical variables, both nominal and ordinal. When property mass valuation is carried out it is important to introduce this kind of variables in best way to achieve most accurate results. There are many techniques of categorical variables encoding. In this study some of them were used in data pre-processing to determine whether the choice of encoding technique affects valuation results obtained with several regression algorithms. Three types of regression models were used in the research: a ridge regression model, k nearest neighbours regression and random forest regression algorithm. Each algorithm used explanatory variables coded using five techniques: one hot encoding, catboost encoding, Helmert encoding, target encoding and ordinal encoding. The results show that mass valuation results vary depending on how the encoding of categorical variables occurs. The regression algorithms used in the study respond differentially to the variable encoding techniques. Nevertheless, the one-hot encoding technique proved to be the best choice. The practical implications of the study are related to the reform of property taxation in Poland. Under this reform, values would become the basis for property taxation. This will be a complex undertaking, requiring the testing of various types of computational techniques to accurately determine the value of an enormous number of properties. The machine learning techniques presented in the study could be a part of a decision support system for introducing a new way of property taxation.;;https://doi.org/10.1016/j.procs.2021.09.127;https://www.sciencedirect.com/science/article/pii/S1877050921018664;;;categorical varibles encoding, property mass valuation, valuation accuracy;;1877-0509;;Knowledge-Based and Intelligent Information & Engineering Systems: Proceedings of the 25th International Conference KES2021;
85;S;Quality of life in Chinese cities;Tie Shi and Wenzhang Zhu and Shihe Fu;China Economic Review;2021;Science@Direct;101682;69;The Rosen-Roback spatial equilibrium theory states that cross-city variations in wages and housing prices reflect urban residents' willingness to pay for urban amenities or quality of life. This paper is the first to quantify and rank the quality of life in Chinese cities based on the Rosen-Roback model. Using the 2005 1% Population Intercensus Survey data, we estimate the wage and housing hedonic models. The coefficients of urban amenity variables in both hedonic models are considered the implicit prices of amenities and are used as the weights to compute the quality of life for each prefecture-level city in China. In general, provincial capital cities and cities with nice weather, good air quality, and accessible public transit have high quality of life. We also find that urban quality of life is positively associated with the subjective well-being of urban residents.;;https://doi.org/10.1016/j.chieco.2021.101682;https://www.sciencedirect.com/science/article/pii/S1043951X21001000;;;Spatial equilibrium, Hedonic model, Urban amenity, Quality of life, Life satisfaction;;1043-951X;;;
86;S;Machine learning models for credit analysis improvements: Predicting low-income families’ default;José Rômulo {de Castro Vieira} and Flavio Barboza and Vinicius Amorim Sobreiro and Herbert Kimura;Applied Soft Computing;2019;Science@Direct;105640;83;"The main objective of this study is to investigate the behaviour of default prediction models based on credit scoring methods and computational techniques with machine learning algorithms. The predictive capabilities of the models were compared to identify default-prediction mechanisms in the “My Home, My Life” Program (Programa “Minha Casa, Minha Vida” — PMCMV). The PMCMV is one of the largest government initiatives in the world to finance home ownership in the low-income population. Implemented by the Brazilian government, the programme has provided financing in excess of USD 84 billion and by 2016 had already contracted for the construction of over 4.5 million housing units, with 3.3 million units already delivered. The models developed in this study involve different time intervals for default prediction as well as analysis without the use of traditional discriminatory variables (gender, age, and marital status). Three measurements were used to evaluate the quality of the prediction models: area under the ROC curve, the Kolmogorov–Smirnov index, and the Brier score. The results indicated that (1) the accuracy of the models improves as the number of days overdue used to define the default variable increases; (2) the best prediction results were obtained with traditional ensemble techniques — in this case Bagging (BG), Random Forest (RF), and Boosting; and (3) there was a negative impact on all criteria when a smaller number of observations was used, especially on the type II error. It was also found that the discriminatory power of the credit risk rating system is preserved when removing discriminatory variables from the models. Applying the BG algorithm, which is the best prediction method, a default rate of 11.80% could be reduced to 2.95%, which leads to a selection that would result in 197,905 fewer delinquent contracts in the PMCMV, thus representing a savings of approximately USD 3.0 billion in credit losses.";;https://doi.org/10.1016/j.asoc.2019.105640;https://www.sciencedirect.com/science/article/pii/S156849461930420X;;;Low-income housing program, Credit risk, Default prediction, Machine learning, Predictive performance measures;;1568-4946;;;
87;S;Social media analytics: Extracting and visualizing Hilton hotel ratings and reviews from TripAdvisor;Yung-Chun Chang and Chih-Hao Ku and Chun-Hung Chen;International Journal of Information Management;2019;Science@Direct;263-279;48;Analyzing and extracting insights from user-generated data has become a topic of interest among businesses and research groups because such data contains valuable information, e.g., consumers’ opinions, ratings, and recommendations of products and services. However, the true value of social media data is rarely discovered due to overloaded information. Existing literature in analyzing online hotel reviews mainly focuses on a single data resource, lexicon, and analysis method and rarely provides marketing insights and decision-making information to improve business’ service and quality of products. We propose an integrated framework which includes a data crawler, data preprocessing, sentiment-sensitive tree construction, convolution tree kernel classification, aspect extraction and category detection, and visual analytics to gain insights into hotel ratings and reviews. The empirical findings show that our proposed approach outperforms baseline algorithms as well as well-known sentiment classification methods, and achieves high precision (0.95) and recall (0.96). The visual analytics results reveal that Business travelers tend to give lower ratings, while Couples tend to give higher ratings. In general, users tend to rate lowest in July and highest in December. The Business travelers more frequently use negative keywords, such as “rude,” “terrible,” “horrible,” “broken,” and “dirty,” to express their dissatisfied emotions toward their hotel stays in July.;;https://doi.org/10.1016/j.ijinfomgt.2017.11.001;https://www.sciencedirect.com/science/article/pii/S0268401217303389;;;Sentiment analysis, Hospitality, Natural language processing, Social media analytics, Visual analytics, Google trends, TripAdvisor;;0268-4012;;;
88;S;GeoGame analytics – A cyber-enabled petri dish for geographic modeling and simulation;Ola Ahlqvist and Nayan Khodke and Rajiv Ramnath;Computers, Environment and Urban Systems;2018;Science@Direct;1-8;67;As researchers start to conceptualize human-environmental interactions through coupled human and natural systems research, the non-linear, dynamic, heterogeneous, feedback loops that are characteristic of those systems challenges a long-standing Newtonian paradigm of systems reducible to component parts, deterministic behavior, and the existence of equilibrium. As an alternative, complex systems researchers often use agent-based models (ABM) or multi-agent systems (MAS) to model and simulate complexity in human-environmental interactions. This paper briefly reports on the development of a novel cyberinfrastructure portal solution called GeoGames. This computing environment integrates and leverages web-GIS and multiplayer online game technology to enable simulations of real-world scenarios of coupled human and natural systems applicable to anything from cities, urban regions to other human settlements. While there are some similarities between GeoGames and games like SimCity, and Civilization, a fundamental idea underlying the GeoGames approach is the focus on creating an on-line world that mirrors (c.f. Gelernter, 1991) authentic real-world geography, realized by a full range of GIS supported mapping and processing services (Ahlqvist, Loffing, Ramanathan, & Kocher, P). In the context of our prototype platform we present the emerging area of Spatial Game Analytics (Drachen & Schubert, 2013) that provides an uncharted area for data-intensive geospatial scenario analysis. Our example scenario is a game that models the relationships of land management on hydrology and water quality. Our presentation is illustrated with examples from our own prototype platform that has generated a significant amount of user data on game play decisions and behavior. Exploratory GeoGame analytics are used to mine the spatial behavior of hundreds of players in order to identify how variations in the rules (land use policies) and varying locations (spatial configurations) affect the simulation outcomes.;;https://doi.org/10.1016/j.compenvurbsys.2017.08.01;https://www.sciencedirect.com/science/article/pii/S0198971517304234;;;Games, Agent based models, Simulations, Analytics;;0198-9715;;;
89;S;Lean data: How small insights drive big data innovation;Sean R. McMahon;Organizational Dynamics;2019;Science@Direct;56-62;48;sinr;;https://doi.org/10.1016/j.orgdyn.2018.06.002;https://www.sciencedirect.com/science/article/pii/S009026161730267X;;;;;0090-2616;;;
90;S;Spatio-temporal stability of housing submarkets. Tracking spatial location of clusters of geographically weighted regression estimates of price determinants;Katarzyna Kopczewska and Piotr ?wiakowski;Land Use Policy;2021;Science@Direct;105292;103;This paper fills the gap in rich housing literature by testing the spatio-temporal stability of real estate submarkets. We start with standard Geographically Weighted Regression (GWR) estimation of the hedonic model on point data, and we cluster model coefficients to detect housing submarkets. We check spatio-temporal stability - we add novelty by comparing if clusters move over space or stay in the same place. We rasterise surface and apply the Rand Index and Jaccard Similarity to check if clusters assigned to raster cells yield stable spatial structure. This approach allows for quantitative assessments of how much determinants of price are stable over time and space. The same mechanism applied to standard errors of GWR coefficients is a good test of the spatio-temporal stability of local heteroscedasticity. A Case study of apartments' transactions in Warsaw-Poland for the 2006–2015 period, evidences relatively high spatio-temporal stability.;;https://doi.org/10.1016/j.landusepol.2021.105292;https://www.sciencedirect.com/science/article/pii/S0264837721000156;;;Geographically weighted regression, Spatio-temporal stability, Spatial location, Housing valuation, Submarkets, Data-driven clusters;;0264-8377;;;
91;S;Urban-rural disparities of household energy requirements and influence factors in China: Classification tree models;Guangwu Chen and Yuhan Zhu and Thomas Wiedmann and Lina Yao and Lixiao Xu and Yafei Wang;Applied Energy;2019;Science@Direct;1321-1335;250;The United Nations Sustainable Development Goals have highlighted the challenges brought about by increasing energy consumption and climate change. Previous studies have concentrated on accounting for urban and rural household energy requirements in China at a macro-scale, which neglects the analysis of individuals and their socio-economic driving factors at the micro-scale. To fill this gap, this study began with an accounting of energy requirements for urban and rural households based on the provincial Multi-Regional Input-Output (MRIO) tables and household survey covering over 25,000 unique samples from 25 provinces in 2012. Multilinear Regression models were employed to estimate the average effect of various demographic and socioeconomic characteristics of samples, and Tree-based models were applied to classify energy requirement groups and identify the key individual characteristics. The results suggest that the energy requirements per capita on average range from 34 to 211 GJ for urban samples and 34 to 149 GJ for rural samples across different provinces, and that the gap between individuals can be over 100 times. Indirect energy requirements representing above 90% of the total is the focus of the study. Changes in lifestyle factors include eating out, drinking and smoking, were all correlated with indirect energy requirements. Furthermore, the one-child family has had a positive effect on indirect energy requirements, while the two or more children family has had a negative effect. In addition, an individual’s mental health plays a role in the level of indirect energy requirements for high-income rural residents, while geographic location plays a key role for urban residents.;;https://doi.org/10.1016/j.apenergy.2019.04.170;https://www.sciencedirect.com/science/article/pii/S030626191930830X;;;Multiregional input-output model, Household energy requirements, Machine learning, Household survey;;0306-2619;;;
92;S;Lasso Penalty method for variable selection in database construction process and developing house value models in RUA;Iwona Fory?;Procedia Computer Science;2021;Science@Direct;3449-3456;192;The aim of this paper is to confirm that in the case of the analysis of large data sets, the Lasso Penalty Method (LASSO) gives better results in the process of eliminating variables for the purpose of real estate value models than classical methods such as Ridge Regression. The selection of variables for an econometric model is closely related to its quality and suitability for intelligent decision support systems applied in the processes of real estate value management in the vicinity of airports. Airports face huge compensation payments as a result of the negative noise externalities they generate for neighbouring properties. Both the scale and complexity of this phenomenon require the development of intelligent systems to support airport decisions on compensation management and to monitor the environmental effects of these decisions. The selection of variables describing property characteristics is the first step in building a cost-effective system, as many of these characteristics are qualitative in nature. While systems can feed spatial information and data available in official registers, qualitative data often requires individual assessments and field visits. Hence, assessing the suitability of a given piece of information for a model is crucial at the data collection stage, especially when long time series are being constructed. For this purpose, it is proposed to use LASSO and then to model the value of developments consisting of detached houses on sets of variables selected with this method. The results obtained for LASSO are promising. They give the best set of qualitative and quantitative explanatory variables. The method has less variability than other subset selection methods tested. LASSO reduces some coefficients and zeros others, while retaining the positive attributes of subset selection and ridge regression. Furthermore, LASSO performs variable selection and coefficient estimation simultaneously. In the perspective of large set formation, this method of variable selection can also be used in Data Mining methods for estimating the value of large sets of properties. The obtained results can successfully support the process of property value management in the vicinity of airports;;https://doi.org/10.1016/j.procs.2021.09.118;https://www.sciencedirect.com/science/article/pii/S1877050921018573;;;variable selection, lasso penatly method, house value, regression models;;1877-0509;;Knowledge-Based and Intelligent Information & Engineering Systems: Proceedings of the 25th International Conference KES2021;
93;S;A neural network and landscape metrics to propose a flexible urban growth boundary: A case study;Suman Chakraborti and Dipendra Nath Das and Biswajit Mondal and Hossein Shafizadeh-Moghadam and Yongjiu Feng;Ecological Indicators;2018;Science@Direct;952-965;93;Urban sprawl is a major barrier for the precise demarcation of administrative boundary in the world. In India, medium and small towns have so far developed outside the envisaged planning, resulting in a leapfrog and haphazard growth. This paper has attempted to simulate the spatial extent of urban expansion and boundary demarcation for the purpose of efficient urban planning and land resource management. An Artificial Neural Network (ANN) model and a set of landscape metrics were used to delineate the Urban Growth Boundary (UGB) and characterize the future patterns of growth in Siliguri Municipal Corporation (SMC, India). In particular, two urban boundaries – namely, Urban Hard Boundary (UHB) and Urban Soft Boundary (USB) – were simulated. The results suggest a USB with the area of 123?km2 to address the basic service delivery and a UHB with the area of 211.88?km2 to manage the ecological fragmentation.;;https://doi.org/10.1016/j.ecolind.2018.05.036;https://www.sciencedirect.com/science/article/pii/S1470160X18303777;;;Urban hard boundary, Urban soft boundary, Artificial neural network, Boundary demarcation, Landscape metrics;;1470-160X;;;
94;S;The language of neighborhoods: A predictive-analytical framework based on property advertisement text and mortgage lending data;Elizabeth C. Delmelle and Isabelle Nilsson;Computers, Environment and Urban Systems;2021;Science@Direct;101658;88;Real estate property listings use specific language to market properties to a target buyer – typically one that will garner the largest profit. As home-seekers have different preferences for house characteristics and neighborhood amenities, the words used to advertise homes are expected to vary according to the type of neighborhood and expected homebuyer. In this article, we develop a framework for extracting the key characteristics used to advertise properties according to the racial and income profile of home mortgage applicants in different types of neighborhoods. We perform an exploratory text analysis on words according to neighborhood types and use a binomial logistic regression model to determine the most discriminatory words for each type of neighborhood. Finally, we assess the ability of the property listing text to predict the type of neighborhood the property belongs to. Using a small, illustrative case study of listings from Charlotte, North Carolina, we find that the presence of specific neighborhood names holds more importance in neighborhoods with primarily White homebuyers. In gentrifying neighborhoods, unique property characteristics such as parquet flooring, and words associated with revitalization near the city center are common. Listings in neighborhoods with minority homebuyers are less likely to mention schools and feature traditionally suburban descriptors such as cars, garage, and roadways. We envision that this framework, using near real-time data sources, holds the potential to advance neighborhood prediction efforts, our understanding of amenity preferences and sorting patterns, and to illuminate less visible processes of change such as discrimination in the housing market.;;https://doi.org/10.1016/j.compenvurbsys.2021.10165;https://www.sciencedirect.com/science/article/pii/S019897152100065X;;;Text analysis, Real estate, Neighborhood typology;;0198-9715;;;
95;S;Social media big data and capital markets—An overview;Jaroslav Bukovina;Journal of Behavioral and Experimental Finance;2016;Science@Direct;18-26;11;A growing body of research and practical applications employ social media data as the proxy for a complex behavior of a society. This paper provides an overview of academic research related to a link between social media and capital markets. The theoretical rationale of this relationship is predominantly defined by behavioral finance. Behavioral finance augments the standard model of efficient markets and considers less rational factors like investors’ sentiment or public mood as influential for asset pricing and capital market volatility. In this context, social media is a novel tool enabling the collection of data about such less rational factors at the level of a society. The paper introduces social media data from a technical and economic point of view. In addition, it contributes to the theoretical construction of the transmission mechanism between social media and capital markets currently missing in the literature. Subsequently, the paper summarizes the main findings in this field and outlines future challenges in this research.;;https://doi.org/10.1016/j.jbef.2016.06.002;https://www.sciencedirect.com/science/article/pii/S2214635016300272;;;Social media, Retail investors, Information demand, Sentiment, Transmission mechanism;;2214-6350;;;
96;S;Predicting housing prices in China based on modified Holt's exponential smoothing incorporating whale optimization algorithm;Lianyi Liu and Lifeng Wu;Socio-Economic Planning Sciences;2020;Science@Direct;100916;72;The forecast of the real estate market is an important part of studying the Chinese economic market. Most existing methods have strict requirements on input variables and are complex in parameter estimation. To obtain better prediction results, a modified Holt's exponential smoothing (MHES) method was proposed to predict the housing price by using historical data. Unlike the traditional exponential smoothing models, MHES sets different weights on historical data and the smoothing parameters depend on the sample size. Meanwhile, the proposed MHES incorporates the whale optimization algorithm (WOA) to obtain the optimal parameters. Housing price data from Kunming, Changchun, Xuzhou and Handan were used to test the performance of the model. The housing prices results of four cities indicate that the proposed method has a smaller prediction error and shorter computation time than that of other traditional models. Therefore, WOA-MHES can be applied efficiently to housing price forecasting and can be a reliable tool for market investors and policy makers.;;https://doi.org/10.1016/j.seps.2020.100916;https://www.sciencedirect.com/science/article/pii/S0038012119306299;;;MHES, WOA, Housing prices, Predict, Time series;;0038-0121;;;
97;S;"{Modeling Housing Rent in the Atlanta Metropolitan Area Using Textual
Information and Deep Learning}";Zhou, Xiaolu and Tong, Weitian and Li, Dongying;{ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION};{2019};ISI Web of Science;;{8};"{The rental housing market plays a critical role in the United States
real estate market. In addition, rent changes are also indicators of
urban transformation and social phenomena. However, traditional data
sources for market rent prediction are often inaccurate or inadequate at
covering large geographies. With the development of housing information
exchange platforms such as Craigslist, user-generated rental listings
now provide big data that cover wide geographies and are rich in textual
information. Given the importance of rent prediction in urban studies,
this study aims to develop and evaluate models of rental market dynamics
using deep learning approaches on spatial and textual data from
Craigslist rental listings. We tested a number of machine learning and
deep learning models (e.g., convolutional neural network, recurrent
neural network) for the prediction of rental prices based on data
collected from Atlanta, GA, USA. With textual information alone, deep
learning models achieved an average root mean square error (RMSE) of
288.4 and mean absolute error (MAE) of 196.8. When combining textual
information with location and housing attributes, the integrated model
achieved an average RMSE of 227.9 and MAE of 145.4. These approaches can
be applied to assess the market value of rental properties, and the
prediction results can be used as indicators of a variety of urban
phenomena and provide practical references for home owners and renters.}";;{10.3390/ijgi8080349};;;;;;;;;
98;S;{Home Price Index: A Machine Learning Methodology};"Barr, Joseph R. and Ellis, Eden A. and Kassab, Antonio and Redfearn,
Christian L. and Srinivasan, Narayanan Nani and Voris, Kurtis B.";{INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING};{2017};ISI Web of Science;{111-133};{11};"{Estimating house prices is essential for homeowners and investors alike
with both needing to understand the value of their asset, and to
understand real estate assets as part of an overall portfolios.
Commonly-used indices like the National Association of Realtors (NAR)
median home price index, or the celebrated Case-Shiller Home Price Index
are reported exclusively over a large geographic areas, i.e., a
metropolitan, whereby home price dynamics are lost. In this paper, we
propose a improved method to capture price dynamics over time at the
most granular level possible - a single home. Using over 16 years of
home sale data, from the year 2000 to 2016, we estimate home price index
for each house. Once home price dynamics is captured, its possible to
aggregate price dynamics to construct a price index over geographies of
any kind, e.g., ZIP code. This particular index relies on a so-called
`gradient boosted' model, a methodology framework relying on multiple
calibration parameters and heavily dependent on sampling techniques. We
demonstrate that this approach offers several strengths compared to the
commonly reported indices, the `median sale' and `repeat sales' indices.}";;{10.1142/S1793351X17500015};;;;;;{1793-351X};;;
